nama_tempat,username,rating,review
Bakso Sayur UB Cab. Tlogomas,Rachel Angeline Wahyu Ningsih,5,Baksonya enak
Bakso Sayur UB Cab. Tlogomas,Whisnu Widhiana,5,Mantap baksonya
Bakso Sayur UB Cab. Tlogomas,Habib Rijik,5,Pelayanannya manjalita cucok meeong
Bakso Sayur UB Cab. Tlogomas,U_ Farah Syaqilla Azzahra,5,"Ramai banget, suka bnget sama rasanya"
Bakso Sayur UB Cab. Tlogomas,bintang andi,5,mantap murah enak
Bakso Sayur UB Cab. Tlogomas,Pranarki Abe,5,Enak kok
Bakso Sayur UB Cab. Tlogomas,Antera Mahendra,5,"Enak bangettt, murah polll"
Bakso Sayur UB Cab. Tlogomas,SHOLI MAFUD,5,Mantab menu dan lokasinya!
Bakso Sayur UB Cab. Tlogomas,revica ananda,5,Bakso nya banyak varian dan rasa nya enak
Bakso Sayur UB Cab. Tlogomas,CHOFIFA TUR,5,Enak harga murah
Bakso Sayur UB Cab. Tlogomas,Kajian Nusantara,1,Koyor nya selalu kosong. Yang jaga banyakan alasan kecewa beli disini
Bakso Sayur UB Cab. Tlogomas,Amanda Hanny,5,"mantapp pol, baksonya enak"
Bakso Sayur UB Cab. Tlogomas,Keysa Aurelia,5,"Enak, mie bisa ambil sepuasnya"
Bakso Sayur UB Cab. Tlogomas,Hasta Ardi,5,"Enak banget, mantapp jasjus"
Bakso Sayur UB Cab. Tlogomas,Candra Sinaga,5,Puas banget makan disini...
Bakso Sayur UB Cab. Tlogomas,avoirkaa,5,baso mya enakkk banyakk macemmnyaa !!
Bakso Sayur UB Cab. Tlogomas,Hanna Indi Dian Yunita,5,"Wajib coba, direkomendasikan jam 10 keatas biar dapet gemuknya"
Bakso Sayur UB Cab. Tlogomas,Sabrina Ananda,5,"enak bangett, wajib cobaa"
Bakso Sayur UB Cab. Tlogomas,Ilmah Fakhriza,5,Enak banget koyornya
Bakso Sayur UB Cab. Tlogomas,Rania Alma 25,5,Enakkk sekalii
Bakso Sayur UB Cab. Tlogomas,Salsabila Ghina Anoraga,5,Mantab enak bangett
Bakso Sayur UB Cab. Tlogomas,Peternak AnisKembang,5,Sesuai ekspektasi
Bakso Sayur UB Cab. Tlogomas,Alfaro Dewata Rizky,5,Pelayanan ramahhh
Bakso Sayur UB Cab. Tlogomas,Amin Nurqoriatin,5,"Sayur sepuasnya, rasa nikmat"
Bakso Sayur UB Cab. Tlogomas,Dwi Syfa,5,Enak lezat bergizi halal
Bakso Sayur UB Cab. Tlogomas,Muhammad Said Agil Bahadjai,5,enak tenannn
Bakso Sayur UB Cab. Tlogomas,Muhammad Affif Islamuddin Ab-bisri,5,Sangat enak mantap
Bakso Sayur UB Cab. Tlogomas,Dancok Grup,5,Mantap Rasanya
Bakso Sayur UB Cab. Tlogomas,bintang ndiii,5,mantap pelayanan ramah
Bakso Sayur UB Cab. Tlogomas,Nining Yulianingsih,5,Keren crewnya ganteng dan cantik masyaAlloh
Bakso Sayur UB Cab. Tlogomas,wardatun Fahdilla,5,enak poll
Bakso Sayur UB Cab. Tlogomas,Hudzaifi Abdillah,5,Rekomendasi dan harganya murah
Bakso Sayur UB Cab. Tlogomas,Rachmat Purwoko,5,Mantab poll
Bakso Sayur UB Cab. Tlogomas,jessica nathania,5,Tempat bersih dan nyaman
Bakso Sayur UB Cab. Tlogomas,Efril Arfedita,5,Mantabb demi free es teh
Bakso Sayur UB Cab. Tlogomas,Dea Ramadanti,5,Baik layanannya
Bakso Sayur UB Cab. Tlogomas,Muhammad Wildan Baikhaqi,5,Kuah mantep sayur unlimited
Bakso Sayur UB Cab. Tlogomas,Resky Shafira Marewangang,5,"Enak guys, cobain"
Bakso Sayur UB Cab. Tlogomas,Ahmad Dzaky Difari,5,mantap banget puass
Bakso Sayur UB Cab. Tlogomas,Jihan Fayruzi,5,enakk nyaman murahh
Bakso Sayur UB Cab. Tlogomas,0,5,"nyaman, enak"
Bakso Sayur UB Cab. Tlogomas,Nia Cantik,5,Baksoo ter the bestttt❤️
Bakso Sayur UB Cab. Tlogomas,irene naibaho,5,Makanan enak
Bakso Sayur UB Cab. Tlogomas,Muhammad Bakhit,5,ENAK BGT BAKSONYA PLSS
Bakso Sayur UB Cab. Tlogomas,Difa cantika,5,bintang 5
Bakso Sayur UB Cab. Tlogomas,I Wayan Satria Dharma Widhiantara,5,mantap 🔥 …
Bakso Sayur UB Cab. Tlogomas,Muhammad reihan Reydanu,5,Enakk paraahhhh 🔥
Bakso Sayur UB Cab. Tlogomas,Umar Abdul Aziz,5,enak banget
Bakso Sayur UB Cab. Tlogomas,Zahra Nailatussyifa,5,enak nyaman
Bakso Sayur UB Cab. Tlogomas,Nurul Huda,5,Mantap berdaging
Bakso Sayur UB Cab. Tlogomas,muh ikhlas,5,enak dan murah
Bakso Sayur UB Cab. Tlogomas,serli marlinton,5,Sangat enak
Bakso Sayur UB Cab. Tlogomas,Boo Boo,5,ENAK BANGETT HEMAATT JUGA
Bakso Sayur UB Cab. Tlogomas,Hawa AF,5,Bakso enak
Bakso Sayur UB Cab. Tlogomas,Yane Putri,5,Mantabbb
Bakso Sayur UB Cab. Tlogomas,Agung Dwi,5,Mantap
Bakso Sayur UB Cab. Tlogomas,Trimas Noverindyah Prameswari,5,Bersih tempatnya
Bakso Sayur UB Cab. Tlogomas,Nichola Adzkaa,5,baksonya enak
Bakso Sayur UB Cab. Tlogomas,Rayyan Arya Muttaqin,5,Enak bgtt
Bakso Sayur UB Cab. Tlogomas,Maisa Saskya,5,enakkkk bangett
Bakso Sayur UB Cab. Tlogomas,wahyu dara,5,Enak bgt
Bakso Sayur UB Cab. Tlogomas,Muhammad Tsaqif Caesarardhi,5,toppp markotop
Bakso Sayur UB Cab. Tlogomas,Bagas Abimanyu Al Farisy,5,👍
Bakso Sayur UB Cab. Tlogomas,Petrus Rosario,5,Enak poll
Bakso Sayur UB Cab. Tlogomas,13_Jhezico_ Theolova,5,ENAK BANGET
Bakso Sayur UB Cab. Tlogomas,068_Shoffie Noor Annisa Alifiah,5,baksonya enak
Bakso Sayur UB Cab. Tlogomas,Wildanul Khusna,5,ter baik
Bakso Sayur UB Cab. Tlogomas,krismaya mega,5,enaaak 🔥
Bakso Sayur UB Cab. Tlogomas,Febila Serlina Efendi,5,👍👍👍
Bakso Sayur UB Cab. Tlogomas,Naura Alkatiri,5,Enak poll
Bakso Sayur UB Cab. Tlogomas,Abigail Chairunnisa,5,Enaaak
Bakso Sayur UB Cab. Tlogomas,Arfat Nor Iswansyah,5,mantabbbb
Bakso Sayur UB Cab. Tlogomas,12. Gesia Putri,5,enakk
Bakso Sayur UB Cab. Tlogomas,Zalfa iftinan,5,enak
Bakso Sayur UB Cab. Tlogomas,Kalky Redmi,5,Mantap
Bakso Sayur UB Cab. Tlogomas,Fina Tri Aulia S,5,ramah
Bakso Sayur UB Cab. Tlogomas,Bang Bondan,5,mantep
Bakso Sayur UB Cab. Tlogomas,Andi Kiky,5,Bagus
Bakso Sayur UB Cab. Tlogomas,UWOEE UWOEE,5,mantapppp
Bakso Sayur UB Cab. Tlogomas,andrian indyanto,5,kereeennn
Bakso Sayur UB Cab. Tlogomas,Muhammad Ainur Rosuli,5,mantapp
Bakso Sayur UB Cab. Tlogomas,gegedto suprawoto,5,Lezat
Bakso Sayur UB Cab. Tlogomas,Nisfu Laila Fitri,5,Enakkkk
Bakso Sayur UB Cab. Tlogomas,Diah Cahyani Ramadhani,5,mantab
Bakso Sayur UB Cab. Tlogomas,Indah Puspita Indah,5,Enak poll
Bakso Sayur UB Cab. Tlogomas,Karuni Amanda Putri,5,mantapppp
Bakso Sayur UB Cab. Tlogomas,Aulia Maharani,5,kerenn
Bakso Sayur UB Cab. Tlogomas,YUVAL JOURNEY,5,Mantap
Bakso Sayur UB Cab. Tlogomas,Wildan BWI,5,Bagus
Bakso Sayur UB Cab. Tlogomas,Adinda Salsabilla,5,Enak
Bakso Sayur UB Cab. Tlogomas,anin bocil,5,Enakk
Bakso Sayur UB Cab. Tlogomas,Rahmi Wulandari,5,enakk
Bakso Sayur UB Cab. Tlogomas,Kheren Ardayanse,5,Mantap
Bakso Sayur UB Cab. Tlogomas,Rahmah Nur Azizah,5,enak
Bakso Sayur UB Cab. Tlogomas,MG Rizz_,5,Bagus
Bakso Sayur UB Cab. Tlogomas,Royan Akbar,5,Enak
Bakso Sayur UB Cab. Tlogomas,miftahol arifin,5,Mantap
Bakso Sayur UB Cab. Tlogomas,vano,5,mantap
Bakso Sayur UB Cab. Tlogomas,Enjel Ventura Try Sukma,5,Mantap
Bakso Sayur UB Cab. Tlogomas,Salma Aurel,5,enak
Bakso Sayur UB Cab. Tlogomas,Rangga Reifan,5,mantap
Bakso Sayur UB Cab. Tlogomas,MATTHEW GUYNETH,5,enak
Bakso Sayur UB Cab. Tlogomas,Bagas Nusa Tama,5,Enak
Bakso Sayur UB Cab. Tlogomas,adyka polopdang,5,enak
Bakso Sayur UB Cab. Tlogomas,Shofakhu Anizzallati,5,"tempatnya nyaman banget dan ambiencenya oke, luas juga"
Bakso Sayur UB Cab. Tlogomas,HUMAM AHNAN,5,enakk bangatt
Bakso Sayur UB Cab. Tlogomas,nidiya agustin,5,bakso sayur ter enak apalagibakso kejunya
Bakso Sayur UB Cab. Tlogomas,Zainab Mubarak,5,"enakk bgttt udah free mie sama sayur banyak, tempat dan pelayanan juga mantap"
Bakso Sayur UB Cab. Tlogomas,clara artonda,1,"Free koyor, tapi koyornya abis. Seharusnya ada antisipasi dari manajemennya karena taglinenya ada free koyor🙏 …"
Bakso Sayur UB Cab. Tlogomas,mal.,5,"Maknyuss, semua serba prasmanan, tempat nya enak."
Bakso Sayur UB Cab. Tlogomas,Brosedha Motovlog,5,"baksonya dagingnya kerasa, kuahnya juga enak ga beningan. bisa nambah mie, sayur, sama kuah👌🏻 …"
Bakso Sayur UB Cab. Tlogomas,Sekagu GT,5,enak
Bakso Sayur UB Cab. Tlogomas,Maman Wijaya,5,Mantap pentolnya
Bakso Sayur UB Cab. Tlogomas,embun cakra,5,"SUPERRR WORTHHH, KRN SUPERR MURAH DAN RASANYA ENAKK BANGETTTT, SELAIN ITUUU PEGAWAINYA SANGAT RAMAGG"
Bakso Sayur UB Cab. Tlogomas,ANGELITA YOHANES,5,enak banget kasir nya ramah
Bakso Sayur UB Cab. Tlogomas,Baiq Tita,5,enak pol
Bakso Sayur UB Cab. Tlogomas,Azhar Zahira Ramadhan,5,Enak bangettt kuahnya gurih baksonya full daging
Bakso Sayur UB Cab. Tlogomas,Sonya Alma,5,enak banget tolong
Bakso Sayur UB Cab. Tlogomas,Eden Bleau,5,Bakso besarnya lezat dan layak untuk dimakan!
Bakso Sayur UB Cab. Tlogomas,Ardan Arda,5,Terbaik bangett
Bakso Sayur UB Cab. Tlogomas,Nandzila Zahra,5,Sangat terjangkau untuk mahasiswa di sekitar sini dan daging kejunya meleleh dengan sangat enak
Bakso Sayur UB Cab. Tlogomas,najah naura,5,Enak sekali seruputnya
Bakso Sayur UB Cab. Tlogomas,Tito Firdaus,5,Bakso paling enak 👍
Bakso Sayur UB Cab. Tlogomas,Ervinda Putri,5,ENAKKK POLLL
Bakso Sayur UB Cab. Tlogomas,Sugiarti pky,5,jajak pendapat wenakk
Bakso Sayur UB Cab. Tlogomas,Zoemar Nabil,5,Jajak pendapat Weunnakkk
