nama_tempat,username,rating,review
Kopi Studio 24 Panglima Sudirman,Aura Griselda,5,murah dan enak 🙌 goodjob 👍🏼semoga makin rame
Kopi Studio 24 Panglima Sudirman,Muhammad Naufal Raihan Zaky,5,"Tempatnya masih baru, lokasinya berada di sebelah buchi kids"
Kopi Studio 24 Panglima Sudirman,Fifi Antika Sari,5,"Tempat bersih, pelayanan ramah"
Kopi Studio 24 Panglima Sudirman,Nanda Dwi rizky Habibillah,5,"Pelayanan ramahh, tempatnya nyaman, dan makannanya enakk.. worth it!!"
Kopi Studio 24 Panglima Sudirman,Brilian Putri,5,tempatnya cozy dan pelayanannya ramah
Kopi Studio 24 Panglima Sudirman,24.Nailasalsabila Choiruddin,1,kecewa bngt pesen pancong chocho crunc dikit banget pdhl di store lainnya banyak😭
Kopi Studio 24 Panglima Sudirman,Syafasyahrul Ramadhan,5,Pelayanan ramah murah enak tempat nya nyaman
Kopi Studio 24 Panglima Sudirman,syahrinaaa,5,"karyawannya ramah, menu nya juga ramah dikantong pelajar, tempat nya cocok buat nugas🤙🏻"
Kopi Studio 24 Panglima Sudirman,Feri Anotd,5,"Pelayanan ramah, tempatnya nyaman dan enak buat ngerjain tugas dan nongkrong. Sipp bgtt pokoknya"
Kopi Studio 24 Panglima Sudirman,armareta berliana,5,"Harganya murah, ada buy 1 get 1👍🏻👍🏻👍🏻"
Kopi Studio 24 Panglima Sudirman,Leny Latifa,5,"pelayanan ramah, cepat, wifi kenceng, ambience nyaman"
Kopi Studio 24 Panglima Sudirman,P17310224106 FAUZIAH AZAHIR,5,"Karyawannya ramah, harganya worth it buat pelajar👍"
Kopi Studio 24 Panglima Sudirman,Anisa Munifatun Nabillah,5,"Tempat nyaman banget buat nugas, pelayanan nya baguss, harganyaa sangat worth it🙏🏻"
Kopi Studio 24 Panglima Sudirman,erna wati,5,tempat nya enakk pelayanan oke harga juga murah makanan minuman enak
Kopi Studio 24 Panglima Sudirman,Elsa manora,5,Makanannya enak
Kopi Studio 24 Panglima Sudirman,annasya hasna,5,"cabang baru lebih deket sama rumahh, bisa kesini wfc tiap harii👍🏼👍🏼 nice"
Kopi Studio 24 Panglima Sudirman,Realme Argi,5,"Temptnya nyaman, kasirnya juga ramah"
Kopi Studio 24 Panglima Sudirman,Aska rafasa Rafasa,5,Tempatnya nyaman dan bersih pelayanan baik
Kopi Studio 24 Panglima Sudirman,Aura Griselda,5,tempatnya nyaman banget buat nugas 🙌
Kopi Studio 24 Panglima Sudirman,putu Eka,5,"Suasanya nyaman , tempat bersih , pelayanannya bagus dan ramah"
Kopi Studio 24 Panglima Sudirman,sabilla syafira,5,"tempatnya bersih dan nyaman, harga makanannya mahasiswa friendly, pelayanannyaa jugaa super baiik dan ramah🙌"
Kopi Studio 24 Panglima Sudirman,chelsea setyawan,5,pelayananyaa ramah harga pelajar
Kopi Studio 24 Panglima Sudirman,nurul maullana,5,"mantep poll , tempat baru tapi mantepp pelayanannya"
Kopi Studio 24 Panglima Sudirman,Anggun Dwi,5,"pelayanan bagus,minuman dan makanannya enak enakk,bersih"
Kopi Studio 24 Panglima Sudirman,Adela Jasinka,5,"pegawainya ramah, menunya enak enak, tempatnya nyaman buat nugas"
Kopi Studio 24 Panglima Sudirman,Manajer Top Eleven,5,Pelayanan cepat ramah suasana menyenangkan
Kopi Studio 24 Panglima Sudirman,Rima Pusparani,5,"Kalo butuh jajanan murah meriah ramah kantong, kesini ajaaa..."
Kopi Studio 24 Panglima Sudirman,Firda Annisa,5,"tempatnya nyaman, pancongnya enak"
Kopi Studio 24 Panglima Sudirman,Eka agustiningtias,5,"Tempatnya bersih,pelayananya ramah"
Kopi Studio 24 Panglima Sudirman,Anggraini Fatmasari,5,"tempatnya nyaman , pelayanan ramah dan cepat , harga terjangka"
Kopi Studio 24 Panglima Sudirman,Kholidi El,5,Sangat bersih tempatnya dan menarik konsepnua
Kopi Studio 24 Panglima Sudirman,Andera Afra,5,"tempatnya nyaman buat nugas, pelayanan baikk"
Kopi Studio 24 Panglima Sudirman,Henny Denandra,5,"Pelayanan yang baik,ramah,cepat & tempat nyaman...🥰🥰"
Kopi Studio 24 Panglima Sudirman,Arga Satria Vasudeva,5,udah pernah kesini tempatnya bagus dan nyaman
Kopi Studio 24 Panglima Sudirman,locatara m.s,5,pelayanannya ramah & tempatnya comfyy 😻😻
Kopi Studio 24 Panglima Sudirman,Besty Cintara,5,"Tempat nya nyaman dan strategi, pelayanan juga cepat dan kasir ramah."
Kopi Studio 24 Panglima Sudirman,Elvira Sandra,5,"Rekomendasi minuman yang enak, pelayanan yang ramah, tempat yang nyaman, dan harga yang terjangkau (kantong pelajar)"
Kopi Studio 24 Panglima Sudirman,Devanda Afrylio,5,"Tempat sejuk, bersih, cocok untuk kerja."
Kopi Studio 24 Panglima Sudirman,Novianda Fitriannisa,5,"sangat nyaman tempatnya buat nongki dan nugas, worth it bgtttt"
Kopi Studio 24 Panglima Sudirman,zabrina verda,5,"Makanannya enak, ramah dikantong pelajar, cocok buat nugas"
Kopi Studio 24 Panglima Sudirman,Ridhoomahvisual,5,"Emm panas2 gini paling enak ngadem sama nikmatin varian es dari kopstud paling tertuju sama d'creammnyaa,😋😋😋"
Kopi Studio 24 Panglima Sudirman,Mahda FT,5,Mantap jos jiss
